date,Code Insee Region,Superficie (km2),Population (2021),Densité (2021) (hab./km2),retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,TMin (°C),TMax (°C),TMoy (°C), pm25, pm10, o3, no2,Vaccination,Cas epidemiques
15/02/2020,11,12012,12317279,1025.4,-12,-10,5,4,-8,-1,10.96,17.9,14.43,61,20,28,14,0,0
16/02/2020,11,12012,12317279,1025.4,-6,-6,-8,4,-1,-2,7.32,12.56,9.94,40,20,26,32,0,0
17/02/2020,11,12012,12317279,1025.4,-2,-3,11,-11,-20,4,3.48,11.02,7.25,34,27,24,30,0,0
18/02/2020,11,12012,12317279,1025.4,-1,-2,15,-8,-18,3,4.46,9.78,7.12,40,27,25,35,0,0
19/02/2020,11,12012,12317279,1025.4,-7,-9,-5,-10,-15,2,6.76,11.32,9.04,45,25,22,29,0,0
20/02/2020,11,12012,12317279,1025.4,-3,-9,-1,-8,-19,4,1.86,10.24,6.05,43,32,22,30,0,0
21/02/2020,11,12012,12317279,1025.4,-4,-3,8,-6,-18,4,3.72,12.72,8.22,45,28,22,26,0,0
22/02/2020,11,12012,12317279,1025.4,-8,-6,9,6,-8,0,9.3,12.92,11.11,49,14,21,19,0,0
23/02/2020,11,12012,12317279,1025.4,-2,0,5,7,-2,0,10.1,12.54,11.32,31,17,19,23,0,0
24/02/2020,11,12012,12317279,1025.4,-1,1,11,0,2,1,6.18,11.2,8.69,27,20,26,33,0,0
25/02/2020,11,12012,12317279,1025.4,-3,0,4,1,2,0,1.82,7.4,4.61,34,22,26,34,0,0
26/02/2020,11,12012,12317279,1025.4,-4,-2,-3,-3,2,1,2.44,11.7,7.07,36,22,20,32,0,0
27/02/2020,11,12012,12317279,1025.4,-2,-4,-7,0,1,1,0.6,10.78,5.69,42,36,17,39,0,0
28/02/2020,11,12012,12317279,1025.4,-2,4,-5,3,3,1,6.36,12.66,9.51,58,37,29,26,0,0
29/02/2020,11,12012,12317279,1025.4,-4,3,-16,5,1,1,1.86,9.34,5.6,53,16,28,28,0,0
01/03/2020,11,12012,12317279,1025.4,-11,0,-33,-2,-2,1,3.74,9.24,6.49,41,17,22,34,0,0
02/03/2020,11,12012,12317279,1025.4,-6,5,-15,-4,2,2,1.24,9.06,5.15,43,42,26,47,0,0
03/03/2020,11,12012,12317279,1025.4,-4,8,1,-3,2,0,2.22,8.82,5.52,53,28,18,35,0,0
04/03/2020,11,12012,12317279,1025.4,-8,2,-16,-7,2,1,6.28,12.96,9.62,45,16,21,30,0,0
05/03/2020,11,12012,12317279,1025.4,-8,-5,-19,-4,1,2,5.32,9.88,7.6,39,27,27,38,0,0
06/03/2020,11,12012,12317279,1025.4,-6,6,-8,-2,3,1,1.76,11.48,6.62,51,32,26,41,0,0
07/03/2020,11,12012,12317279,1025.4,-8,2,4,1,0,1,7.2,10.86,9.03,56,19,9,27,0,0
08/03/2020,11,12012,12317279,1025.4,-11,-2,-23,-6,-3,1,4.62,12.08,8.35,40,25,26,33,0,0
09/03/2020,11,12012,12317279,1025.4,-7,1,-4,-8,0,2,6.82,14.72,10.77,42,16,25,25,0,0
10/03/2020,11,12012,12317279,1025.4,-10,2,-10,-8,-1,2,12.26,16.9,14.58,28,22,27,23,0,0
11/03/2020,11,12012,12317279,1025.4,-9,1,-1,-9,-1,1,8.94,13.32,11.13,28,27,28,32,0,0
12/03/2020,11,12012,12317279,1025.4,-9,4,-5,-9,-2,2,3.56,12.56,8.06,39,30,27,24,0,0
13/03/2020,11,12012,12317279,1025.4,-14,18,-11,-12,-3,4,5.94,11.54,8.74,41,24,21,26,0,0
14/03/2020,11,12012,12317279,1025.4,-28,4,-34,-20,-8,6,6.92,16.78,11.85,49,26,28,27,0,0
15/03/2020,11,12012,12317279,1025.4,-53,25,34,-24,-17,5,6.04,11.34,8.69,54,27,18,35,0,0
16/03/2020,11,12012,12317279,1025.4,-47,46,-39,-42,-47,18,8.1,15.36,11.73,62,39,16,33,0,0
17/03/2020,11,12012,12317279,1025.4,-73,-11,-65,-66,-68,30,9.02,18.36,13.69,80,45,29,31,0,0
